Path,Name,"Default Culture","pt"
Lumafly/Resources,Array_Sep,", ",", "
Lumafly/Resources,AvailableMods,"Available Mods","Mods Disponíveis"
Lumafly/Resources,AvailablePacks,"Available Packs:","Pacotes Disponíveis:"
Lumafly/Resources,Cancel,"Cancel","Cancelar"
Lumafly/Resources,Confirm,"Confirm","Confirmar"
Lumafly/Resources,DisableMod,"DisableMod","DesativarMod"
Lumafly/Resources,EditDetails,"Edit Details","Editar Detalhes"
Lumafly/Resources,EditMods,"Edit Mods","Editar Mods"
Lumafly/Resources,EditPack,"Edit Pack","Editar Pacote"
Lumafly/Resources,EnableMod,"Enable Mod","Ativar Mod"
Lumafly/Resources,EnterSharingCode,"Enter Sharing Code:","Insira o Código de Compartilhamento:"
Lumafly/Resources,FixedVersion_Tooltip,"Don't use latest modlinks version. Instead use current version","Não usar a última versão do modlinks. Em vez disso, usar a versão atual"
Lumafly/Resources,LoadPackAdditive,"Load without replacing","Carregar sem substituir"
Lumafly/Resources,LoadPackAdditive_Explanation,"Load this pack without replacing mods in current mods folder","Carregar esse pacote sem substituir mods na pasta de mods atual"
Lumafly/Resources,ModlinksVersion_Tooltip,"Use latest modlinks version","Usar a última versão do modlinks"
Lumafly/Resources,PackDescription,"Pack Description","Descrição do Pacote"
Lumafly/Resources,PackDetails,"Pack Details","Detalhes do Pacote"
Lumafly/Resources,PackDetails_Explanation,"Edit the details of your pack here.","Edite os detalhes de seu pacote aqui."
Lumafly/Resources,PackName,"Pack Name","Nome do Pacote"
Lumafly/Resources,PackUpdatePrompt,"Some mods in the pack are outdated, do you want to update them?","Alguns mods no pacote estão desatualizados, você deseja atualizá-los?"
Lumafly/Resources,RevertToPreviousMods,"Revert to previous mods","Reverter para mods anteriores"
Lumafly/Resources,SelectedMods,"Selected Mods","Mods Selecionados"
Lumafly/Resources,UseFixedVersion,"Use Fixed Version",
Lumafly/Resources,UseModlinksVersion,"Use Modlinks Version","Usar Versão do Modlinks"
Lumafly/Resources,XAML_CacheDownloads_Explanation,"(Uses extra {0} of storage)","(Usa {0} extra de armazenamento)"
Lumafly/Resources,XAML_CreateNewPack,"Create new pack","Criar novo pacote"
Lumafly/Resources,XAML_DeletePack,"Delete pack","Deletar pacote"
Lumafly/Resources,XAML_Description,"Description:","Descrição:"
Lumafly/Resources,XAML_EditPack,"Edit pack","Editar pacote"
Lumafly/Resources,XAML_FilterMods,"Filter Mods:  ","Filtrar Mods:"
Lumafly/Resources,XAML_GenerateSharingCode,"Generate a 8 digit sharing code. This can be given to someone else and they can use this pack","Gera um código de compartilhamento de 8 dígitos. Isso pode ser dado a alguém e ele pode usar esse pacote"
Lumafly/Resources,XAML_ImportPack,"Import pack","Importar pacote"
Lumafly/Resources,XAML_InfoHeader,"Lumafly","Lumafly"
Lumafly/Resources,XAML_InfoLinkDiscord,"Discord\n","Discord\n"
Lumafly/Resources,XAML_InfoLinkWebsite,"Website\n",
Lumafly/Resources,XAML_LoadPack,"Load Pack","Carregar pacote"
Lumafly/Resources,XAML_Low_Storage_Mode,"Low Storage Mode","Modo de Armazenamento Baixo"
Lumafly/Resources,XAML_ModsInPack,"Mods In Pack:","Mods no Pacote:"
Lumafly/Resources,XAML_Packs,"Packs","Pacotes"
Lumafly/Resources,XAML_SearchAuthor,"Search Author","Procurar Autor"
Lumafly/Resources,XAML_Search_Integrations,"Search by Integrations","Procurar por Integrações"
Lumafly/Resources,XAML_SharePack,"Share this pack","Compartilhar esse pacote"
Lumafly/Resources,XAML_SharePackManually,"Share this pack as a zip file. You will need to send this zip file yourself.","Compartilhar esse pacote como um arquivo zip. Você precisará enviar esse arquivo zip você mesmo."
Lumafly/Resources,XAML_SharingCode,"Sharing Code:","Código de Compartilhamento"
Lumafly/Resources,XAML_Toggle_All,"Toggle All","Alternar Tudo"
Lumafly/Resources,XAML_Toggle_All_Tooltip,"Disable all mods if any are enabled, Enable all mods if all are disabled","Desativar todos os mods se qualquer um estiver ativado, Ativar todos os mods se todos estiverem desativados"
